Czas [ms];Wygrane A [%];Wybrane B [%];Srednia liczba symulacji;eksploracja [%];Srednia glebokosc liscia;mediana glebokosci liscia;maksymalna glebokosc liscia
250;4;96;86,6686046511628;0,432794708937797;3,93550861704974;4;11;
500;4;94;122,464150943396;0,433978361631072;4,27638705376805;4;13;
750;4;96;156,513386696108;0,417119177886408;4,46074220404177;4;12;
1000;10;90;189,590313616514;0,390431297381116;4,47019293814315;4;14;
1250;6;94;222,24689391526;0,411779307909033;4,76828643848304;4;14;
1500;4;96;257,773635153129;0,396408959004609;4,85147477564247;5;14;
1750;10;90;292,200297074954;0,395159526153377;4,81009336665057;4;14;
2000;0;100;327,767708228675;0,399635047662596;5,04220856803299;5;15;
2250;2;98;359,893446317498;0,389750469481599;5,05455180012632;5;15;
