Czas [ms];Wygrane A [%];Wybrane B [%];Srednia liczba symulacji;eksploracja [%];Srednia glebokosc liscia;mediana glebokosci liscia;maksymalna glebokosc liscia
250;66;32;75,7179093005381;0,361921218081249;3,55934724851406;3;11;
500;62;38;106,89793599697;0,352457752235327;3,86130297901359;4;11;
750;80;20;137,02780586451;0,34737012711058;4,02693399955502;4;12;
1000;66;32;166,174378911436;0,351913507947983;4,17813872986287;4;12;
1250;68;32;193,45848540146;0,350698621766818;4,29121359508439;4;14;
1500;78;20;226,12216879666;0,346825488610103;4,39077906243388;4;14;
