Czas [ms];Wygrane A [%];Wybrane B [%];Srednia liczba symulacji;eksploracja [%];Srednia glebokosc liscia;mediana glebokosci liscia;maksymalna glebokosc liscia
250;18;82;76,6186071817193;0,382826879555748;3,59769765098175;3;11;
500;20;80;108,925020155872;0,386254553225255;3,95053320265052;4;12;
750;20;80;139,731188759475;0,377879157573079;4,14736856901993;4;12;
1000;18;82;170,786215609208;0,380823322924409;4,31470385332598;4;14;
1250;20;80;201,163531114327;0,375429977076234;4,35178627240799;4;13;
1500;22;78;234,423886487502;0,374439039514474;4,58237994793977;4;15;
1750;18;82;269,63767299646;0,36205448541067;4,61063053846891;4;15;
